"as_of_date","location","listings"
2021-07-10,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,931 w / 15 mo leaseavailable oct 04 — oct 06"
2021-07-10,"calabasas","finish package iapartment 001-02b2 bedrooms • 2 baths • 950 sqft$3,003 w / 13 mo leaseavailable jul 21 — jul 23"
2021-07-10,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,074 $3,016 w / 13 mo leaseavailable jul 20 — jul 24"
2021-07-10,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,110 w / 13 mo leaseavailable jul 11 — jul 15"
2021-07-10,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$3,151 w / 15 mo leaseavailable sep 23 — sep 25"
2021-07-10,"calabasas","finish package iiapartment 001-05g2 bedrooms • 2 baths • 950 sqft$3,333 $3,209 w / 15 mo leaseavailable aug 12 — aug 14"
2021-07-10,"calabasas","finish package iiapartment 002-39j2 bedrooms • 2 baths • 1109 sqft$3,465 w / 15 mo leaseavailable aug 12 — aug 14"
2021-07-10,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$3,090 w / 15 mo leaseavailable sep 25 — sep 26"
2021-07-10,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,140 w / 15 mo leaseavailable jul 31 — aug 01"
2021-07-10,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,145 w / 15 mo leaseavailable aug 11 — aug 12"
