"as_of_date","location","listings"
2021-12-01,"calabasas","classic schemeapartment 001-17b2 bedrooms • 2 baths • 950 sqft$2,808 w / 15 mo leaseavailable jan 06 — jan 08"
2021-12-01,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,869 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,904 w / 15 mo leaseavailable dec 30 — jan 01"
2021-12-01,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$2,994 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iiapartment 001-12p2 bedrooms • 2 baths • 950 sqft$3,058 w / 15 mo leaseavailable dec 30 — jan 01"
2021-12-01,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,144 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,173 w / 14 mo leaseavailable dec 13 — dec 15"
2021-12-01,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,190 w / 15 mo leaseavailable dec 03 — dec 07"
2021-12-01,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,227 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,452 $3,405 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iiapartment 002-37j2 bedrooms • 2 baths • 1109 sqft$3,406 w / 15 mo leaseavailable dec 28 — dec 30"
2021-12-01,"calabasas","finish package iiapartment 002-32b2 bedrooms • 2 baths • 1109 sqft$3,429 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,471 w / 15 mo leaseavailable dec 02 — dec 06"
2021-12-01,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,710 $2,560 w / 19 mo leaseavailable dec 15 — dec 17"
2021-12-01,"east norwalk","apartment 005-3612 bedrooms • 2 baths • 1085 sqft$2,705 $2,655 w / 20 mo leaseavailable dec 02 — dec 04"
2021-12-01,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,755 $2,660 w / 18 mo leaseavailable dec 31 — jan 02"
2021-12-01,"east norwalk","apartment 004-3452 bedrooms • 2 baths • 1039 sqft$2,710 w / 18 mo leaseavailable jan 19 — jan 20"
2021-12-01,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,745 w / 18 mo leaseavailable jan 09 — jan 10"
2021-12-01,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,880 $2,770 w / 20 mo leaseavailable dec 02 — dec 04"
2021-12-01,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$2,855 w / 19 mo leaseavailable dec 18 — dec 19"
2021-12-01,"east norwalk","apartment 002-4302 bedrooms • 2 baths • 1288 sqft$2,875 w / 20 mo leaseavailable dec 02 — dec 04"
2021-12-01,"east norwalk","apartment 001-2012 bedrooms • 2 baths • 1306 sqft$2,945 w / 18 mo leaseavailable jan 13 — jan 14"
