"as_of_date","location","listings"
2022-01-16,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,109 w / 15 mo leaseavailable jan 17 — jan 21"
2022-01-16,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$3,125 w / 15 mo leaseavailable feb 04 — feb 06"
2022-01-16,"calabasas","finish package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,274 w / 15 mo leaseavailable feb 15 — feb 17"
2022-01-16,"calabasas","finish package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,333 w / 15 mo leaseavailable feb 11 — feb 13"
2022-01-16,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,336 w / 15 mo leaseavailable feb 11 — feb 13"
2022-01-16,"calabasas","finish package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,378 w / 15 mo leaseavailable jan 17 — jan 21"
2022-01-16,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,378 w / 15 mo leaseavailable jan 17 — jan 21"
2022-01-16,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,430 w / 15 mo leaseavailable jan 17 — jan 21"
2022-01-16,"calabasas","finish package iiapartment 002-26p2 bedrooms • 2 baths • 1109 sqft$3,727 w / 15 mo leaseavailable jan 17 — jan 21"
2022-01-16,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,655 w / 18 mo leaseavailable jan 17 — jan 19"
2022-01-16,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,665 w / 18 mo leaseavailable jan 17 — jan 19"
2022-01-16,"east norwalk","apartment 004-3452 bedrooms • 2 baths • 1039 sqft$2,740 w / 17 mo leaseavailable feb 18 — feb 19"
2022-01-16,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,840 w / 15 mo leaseavailable mar 31 — apr 01"
