"as_of_date","location","listings"
2021-06-26,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,761 w / 15 mo leaseavailable oct 04 — oct 06"
2021-06-26,"calabasas","finish package iapartment 001-03o2 bedrooms • 2 baths • 950 sqft$2,825 w / 15 mo leaseavailable jul 31 — aug 02"
2021-06-26,"calabasas","finish package iiapartment 001-13i2 bedrooms • 2 baths • 950 sqft$2,866 w / 15 mo leaseavailable aug 17 — aug 19"
2021-06-26,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,991 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-26,"calabasas","finish package iapartment 002-32h2 bedrooms • 2 baths • 1109 sqft$3,093 w / 15 mo leaseavailable aug 11 — aug 13"
2021-06-26,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,103 w / 15 mo leaseavailable jun 27 — jul 01"
2021-06-26,"calabasas","finish package iiapartment 002-36i2 bedrooms • 2 baths • 950 sqft$3,308 w / 15 mo leaseavailable jul 21 — jul 25"
2021-06-26,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$3,327 w / 15 mo leaseavailable jul 22 — jul 24"
2021-06-26,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-26,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-26,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,155 w / 15 mo leaseavailable jul 31 — aug 01"
2021-06-26,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,160 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-26,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,160 w / 15 mo leaseavailable jul 07 — jul 09"
