"as_of_date","location","listings"
2022-03-10,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,984 $2,933 w / 15 mo leaseavailable mar 11 — mar 15"
2022-03-10,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$2,960 w / 15 mo leaseavailable mar 11 — mar 15"
2022-03-10,"calabasas","classic package iiapartment 002-30o2 bedrooms • 2 baths • 925 sqft$3,038 w / 15 mo leaseavailable apr 14 — apr 16"
2022-03-10,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,059 w / 15 mo leaseavailable mar 11 — mar 15"
2022-03-10,"calabasas","renovated package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,183 w / 15 mo leaseavailable mar 11 — mar 15"
2022-03-10,"calabasas","renovated package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,186 w / 15 mo leaseavailable mar 11 — mar 15"
2022-03-10,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,710 w / 9 mo leaseavailable jun 24 — jun 25"
2022-03-10,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,945 w / 15 mo leaseavailable apr 06 — apr 07"
2022-03-10,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,985 w / 15 mo leaseavailable apr 02 — apr 03"
