"as_of_date","location","listings"
2021-06-02,"calabasas","finish package iapartment 001-10o2 bedrooms • 2 baths • 950 sqft$2,492 w / 15 mo leaseavailable jun 19 — jun 21"
2021-06-02,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,558 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-02,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,616 w / 15 mo leaseavailable jul 01 — jul 03"
2021-06-02,"calabasas","finish package iapartment 001-07a2 bedrooms • 2 baths • 950 sqft$2,677 w / 15 mo leaseavailable jun 18 — jun 22"
2021-06-02,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,700 w / 15 mo leaseavailable jun 03 — jun 07"
2021-06-02,"calabasas","finish package iiapartment 002-29o2 bedrooms • 2 baths • 950 sqft$2,839 w / 15 mo leaseavailable jun 26 — jun 28"
2021-06-02,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,841 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-02,"calabasas","finish package iiapartment 001-01h2 bedrooms • 2 baths • 925 sqft$2,846 w / 15 mo leaseavailable jun 30 — jul 02"
2021-06-02,"calabasas","finish package iapartment 001-18b2 bedrooms • 2 baths • 1109 sqft$2,868 w / 15 mo leaseavailable jul 01 — jul 03"
2021-06-02,"calabasas","finish package iiapartment 001-19h2 bedrooms • 2 baths • 950 sqft$2,888 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-02,"calabasas","finish package iiapartment 001-04b2 bedrooms • 2 baths • 925 sqft$2,900 w / 15 mo leaseavailable jul 11 — jul 13"
2021-06-02,"calabasas","finish package iapartment 001-13b2 bedrooms • 2 baths • 1109 sqft$2,947 w / 15 mo leaseavailable jun 24 — jun 26"
2021-06-02,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,968 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-02,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,984 w / 15 mo leaseavailable jun 03 — jun 07"
2021-06-02,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$2,991 w / 15 mo leaseavailable aug 10 — aug 12"
2021-06-02,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,036 $2,992 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-02,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,999 w / 15 mo leaseavailable jun 03 — jun 07"
2021-06-02,"calabasas","finish package iiapartment 001-05p2 bedrooms • 2 baths • 950 sqft$3,140 $3,096 w / 15 mo leaseavailable jun 03 — jun 07"
2021-06-02,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,153 w / 15 mo leaseavailable jun 14 — jun 18"
2021-06-02,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,228 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-02,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,025 w / 13 mo leaseavailable aug 11 — aug 12"
2021-06-02,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$3,030 w / 13 mo leaseavailable aug 08 — aug 09"
2021-06-02,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,300 w / 15 mo leaseavailable jul 07 — jul 08"
