"as_of_date","location","listings"
2022-03-17,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,954 $2,903 w / 15 mo leaseavailable mar 17 — mar 21"
2022-03-17,"calabasas","classic package iiapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,911 w / 15 mo leaseavailable mar 30 — apr 01"
2022-03-17,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$2,930 w / 15 mo leaseavailable mar 17 — mar 21"
2022-03-17,"calabasas","classic package iiapartment 002-30o2 bedrooms • 2 baths • 925 sqft$3,023 w / 15 mo leaseavailable apr 14 — apr 16"
2022-03-17,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,114 w / 15 mo leaseavailable mar 17 — mar 21"
2022-03-17,"calabasas","renovated package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,185 w / 15 mo leaseavailable mar 23 — mar 27"
2022-03-17,"calabasas","renovated package iiapartment 002-34p2 bedrooms • 2 baths • 1109 sqft$3,706 w / 13 mo leaseavailable jun 14 — jun 16"
2022-03-17,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,710 w / 9 mo leaseavailable jun 22 — jun 23"
2022-03-17,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,815 w / 16 mo leaseavailable mar 25 — mar 27"
2022-03-17,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,920 w / 15 mo leaseavailable apr 06 — apr 07"
2022-03-17,"east norwalk","apartment 001-3012 bedrooms • 2 baths • 1306 sqft$2,945 w / 9 mo leaseavailable apr 27 — apr 28"
