"as_of_date","location","listings"
2021-08-08,"calabasas","finish package iapartment 002-34g2 bedrooms • 2 baths • 950 sqft$3,026 w / 15 mo leaseavailable nov 01 — nov 03"
2021-08-08,"calabasas","finish package iapartment 002-30h2 bedrooms • 2 baths • 925 sqft$3,082 w / 15 mo leaseavailable aug 27 — aug 29"
2021-08-08,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$3,116 w / 15 mo leaseavailable oct 05 — oct 07"
2021-08-08,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$3,130 w / 15 mo leaseavailable sep 06 — sep 08"
2021-08-08,"calabasas","finish package iapartment 001-10p2 bedrooms • 2 baths • 950 sqft$3,144 w / 15 mo leaseavailable sep 03 — sep 05"
2021-08-08,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,166 w / 15 mo leaseavailable sep 06 — sep 08"
2021-08-08,"calabasas","finish package iapartment 001-02g2 bedrooms • 2 baths • 950 sqft$3,184 w / 15 mo leaseavailable aug 30 — sep 01"
2021-08-08,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$3,184 w / 15 mo leaseavailable sep 15 — sep 17"
2021-08-08,"calabasas","finish package iiapartment 002-28g2 bedrooms • 2 baths • 950 sqft$3,381 $3,206 w / 15 mo leaseavailable sep 14 — sep 16"
2021-08-08,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$3,241 w / 15 mo leaseavailable sep 27 — sep 29"
2021-08-08,"calabasas","finish package iiapartment 001-07b2 bedrooms • 2 baths • 950 sqft$3,247 w / 15 mo leaseavailable aug 31 — sep 02"
2021-08-08,"calabasas","classic schemeapartment 002-37b2 bedrooms • 2 baths • 950 sqft$3,451 w / 15 mo leaseavailable sep 24 — sep 26"
2021-08-08,"calabasas","finish package iiapartment 002-39p2 bedrooms • 2 baths • 1109 sqft$3,548 $3,492 w / 15 mo leaseavailable sep 14 — sep 16"
2021-08-08,"calabasas","finish package iiapartment 002-38g2 bedrooms • 2 baths • 950 sqft$3,536 w / 15 mo leaseavailable aug 26 — aug 28"
2021-08-08,"calabasas","finish package iiapartment 002-29h2 bedrooms • 2 baths • 1109 sqft$3,608 w / 15 mo leaseavailable sep 16 — sep 18"
2021-08-08,"calabasas","finish package iapartment 002-32h2 bedrooms • 2 baths • 1109 sqft$3,723 w / 15 mo leaseavailable aug 16 — aug 20"
2021-08-08,"calabasas","finish package iiapartment 001-20b2 bedrooms • 2 baths • 1313 sqft$3,917 w / 15 mo leaseavailable sep 14 — sep 16"
2021-08-08,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,860 w / 13 mo leaseavailable aug 21 — aug 23"
2021-08-08,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$2,925 w / 13 mo leaseavailable aug 11 — aug 13"
2021-08-08,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$3,000 w / 15 mo leaseavailable sep 10 — sep 11"
2021-08-08,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$3,030 w / 15 mo leaseavailable sep 11 — sep 12"
2021-08-08,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,125 w / 13 mo leaseavailable aug 09 — aug 11"
2021-08-08,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$3,180 w / 15 mo leaseavailable sep 25 — sep 26"
2021-08-08,"east norwalk","apartment 005-4602 bedrooms • 2 baths • 1297 sqft$3,185 w / 15 mo leaseavailable sep 29 — sep 30"
