"as_of_date","location","listings"
2021-11-21,"calabasas","classic schemeapartment 001-17b2 bedrooms • 2 baths • 950 sqft$2,818 w / 15 mo leaseavailable jan 04 — jan 06"
2021-11-21,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,879 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,914 w / 15 mo leaseavailable dec 30 — jan 01"
2021-11-21,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$2,944 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iiapartment 001-16j2 bedrooms • 2 baths • 925 sqft$2,987 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,094 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,123 w / 14 mo leaseavailable dec 13 — dec 15"
2021-11-21,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,175 w / 14 mo leaseavailable dec 08 — dec 10"
2021-11-21,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,237 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,402 $3,356 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"calabasas","finish package iiapartment 002-37j2 bedrooms • 2 baths • 1109 sqft$3,356 w / 15 mo leaseavailable dec 27 — dec 29"
2021-11-21,"calabasas","finish package iiapartment 002-32b2 bedrooms • 2 baths • 1109 sqft$3,399 w / 14 mo leaseavailable dec 01 — dec 05"
2021-11-21,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,441 w / 15 mo leaseavailable nov 22 — nov 26"
2021-11-21,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,700 $2,550 w / 19 mo leaseavailable dec 15 — dec 17"
2021-11-21,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,745 $2,650 w / 18 mo leaseavailable dec 31 — jan 02"
2021-11-21,"east norwalk","apartment 005-3612 bedrooms • 2 baths • 1085 sqft$2,720 $2,670 w / 20 mo leaseavailable nov 22 — nov 24"
2021-11-21,"east norwalk","apartment 004-3452 bedrooms • 2 baths • 1039 sqft$2,700 w / 18 mo leaseavailable jan 19 — jan 20"
2021-11-21,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,895 $2,785 w / 20 mo leaseavailable nov 22 — nov 24"
2021-11-21,"east norwalk","apartment 005-4532 bedrooms • 2 baths • 1297 sqft$2,950 $2,800 w / 20 mo leaseavailable nov 22 — nov 24"
2021-11-21,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$2,845 w / 19 mo leaseavailable dec 18 — dec 19"
2021-11-21,"east norwalk","apartment 002-4302 bedrooms • 2 baths • 1288 sqft$2,890 w / 20 mo leaseavailable nov 25 — nov 27"
2021-11-21,"east norwalk","apartment 001-2012 bedrooms • 2 baths • 1306 sqft$2,935 w / 18 mo leaseavailable jan 13 — jan 14"
