"as_of_date","location","listings"
2021-05-31,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,558 w / 15 mo leaseavailable jun 29 — jul 01"
2021-05-31,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,616 w / 15 mo leaseavailable jul 01 — jul 03"
2021-05-31,"calabasas","finish package iapartment 001-10o2 bedrooms • 2 baths • 950 sqft$2,677 w / 15 mo leaseavailable jun 16 — jun 18"
2021-05-31,"calabasas","finish package iapartment 001-07a2 bedrooms • 2 baths • 950 sqft$2,677 w / 15 mo leaseavailable jun 18 — jun 20"
2021-05-31,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,700 w / 15 mo leaseavailable jun 01 — jun 05"
2021-05-31,"calabasas","finish package iiapartment 002-29o2 bedrooms • 2 baths • 950 sqft$2,839 w / 15 mo leaseavailable jun 26 — jun 28"
2021-05-31,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,841 w / 15 mo leaseavailable jul 13 — jul 15"
2021-05-31,"calabasas","finish package iiapartment 001-01h2 bedrooms • 2 baths • 925 sqft$2,846 w / 15 mo leaseavailable jun 29 — jul 01"
2021-05-31,"calabasas","finish package iapartment 001-18b2 bedrooms • 2 baths • 1109 sqft$2,868 w / 15 mo leaseavailable jun 30 — jul 02"
2021-05-31,"calabasas","finish package iapartment 001-13b2 bedrooms • 2 baths • 1109 sqft$2,947 w / 15 mo leaseavailable jun 21 — jun 23"
2021-05-31,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,968 w / 15 mo leaseavailable jul 08 — jul 10"
2021-05-31,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,984 w / 15 mo leaseavailable jun 01 — jun 05"
2021-05-31,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$2,996 w / 15 mo leaseavailable aug 10 — aug 12"
2021-05-31,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,999 w / 15 mo leaseavailable jun 01 — jun 05"
2021-05-31,"calabasas","finish package iiapartment 001-05p2 bedrooms • 2 baths • 950 sqft$3,140 $3,096 w / 15 mo leaseavailable jun 01 — jun 05"
2021-05-31,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,153 w / 15 mo leaseavailable jun 14 — jun 16"
2021-05-31,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,228 w / 15 mo leaseavailable jun 29 — jul 01"
2021-05-31,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,025 w / 13 mo leaseavailable aug 11 — aug 12"
2021-05-31,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,270 w / 15 mo leaseavailable jul 07 — jul 08"
