"as_of_date","location","listings"
2022-01-10,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,059 w / 15 mo leaseavailable jan 11 — jan 15"
2022-01-10,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$3,080 w / 15 mo leaseavailable feb 04 — feb 06"
2022-01-10,"calabasas","finish package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,169 w / 15 mo leaseavailable jan 20 — jan 22"
2022-01-10,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,296 w / 15 mo leaseavailable jan 28 — jan 30"
2022-01-10,"calabasas","finish package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,298 w / 15 mo leaseavailable feb 11 — feb 13"
2022-01-10,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,328 w / 15 mo leaseavailable jan 11 — jan 15"
2022-01-10,"calabasas","finish package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,338 w / 15 mo leaseavailable jan 13 — jan 17"
2022-01-10,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,380 w / 15 mo leaseavailable jan 11 — jan 15"
2022-01-10,"calabasas","finish package iiapartment 002-26p2 bedrooms • 2 baths • 1109 sqft$3,762 w / 15 mo leaseavailable jan 19 — jan 23"
2022-01-10,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,650 w / 18 mo leaseavailable jan 14 — jan 16"
2022-01-10,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,660 w / 18 mo leaseavailable jan 11 — jan 13"
2022-01-10,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,885 $2,778 w / 18 mo leaseavailable jan 11 — jan 13"
2022-01-10,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,845 w / 15 mo leaseavailable mar 30 — mar 31"
