"as_of_date","location","listings"
2021-11-02,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,781 w / 15 mo leaseavailable nov 03 — nov 07"
2021-11-02,"calabasas","finish package iapartment 002-31h2 bedrooms • 2 baths • 925 sqft$2,816 w / 15 mo leaseavailable nov 15 — nov 19"
2021-11-02,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,859 w / 15 mo leaseavailable nov 03 — nov 07"
2021-11-02,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,889 w / 15 mo leaseavailable dec 30 — jan 01"
2021-11-02,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$3,064 w / 15 mo leaseavailable nov 03 — nov 07"
2021-11-02,"calabasas","finish package iiapartment 001-16j2 bedrooms • 2 baths • 925 sqft$3,107 w / 15 mo leaseavailable nov 11 — nov 13"
2021-11-02,"calabasas","finish package iiapartment 001-02j2 bedrooms • 2 baths • 950 sqft$3,137 w / 14 mo leaseavailable dec 14 — dec 16"
2021-11-02,"calabasas","finish package iiapartment 001-07g2 bedrooms • 2 baths • 950 sqft$3,162 w / 14 mo leaseavailable dec 09 — dec 11"
2021-11-02,"calabasas","finish package iapartment 001-18j2 bedrooms • 2 baths • 1109 sqft$3,167 w / 15 mo leaseavailable nov 03 — nov 07"
2021-11-02,"calabasas","finish package iiapartment 002-40o2 bedrooms • 2 baths • 950 sqft$3,181 w / 14 mo leaseavailable dec 06 — dec 08"
2021-11-02,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,214 w / 15 mo leaseavailable nov 08 — nov 12"
2021-11-02,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,217 w / 15 mo leaseavailable nov 03 — nov 07"
2021-11-02,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,270 w / 14 mo leaseavailable dec 06 — dec 08"
2021-11-02,"calabasas","finish package iiapartment 002-37b2 bedrooms • 2 baths • 1109 sqft$3,466 w / 15 mo leaseavailable nov 08 — nov 12"
2021-11-02,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,522 $3,473 w / 15 mo leaseavailable nov 08 — nov 12"
2021-11-02,"calabasas","finish package iiapartment 002-32b2 bedrooms • 2 baths • 1109 sqft$3,509 w / 14 mo leaseavailable dec 01 — dec 03"
2021-11-02,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,556 w / 15 mo leaseavailable nov 27 — nov 29"
2021-11-02,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,655 $2,505 w / 20 mo leaseavailable nov 03 — nov 05"
2021-11-02,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,725 $2,575 w / 19 mo leaseavailable dec 15 — dec 17"
2021-11-02,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$2,685 $2,590 w / 20 mo leaseavailable nov 03 — nov 05"
2021-11-02,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,770 $2,675 w / 18 mo leaseavailable dec 31 — jan 02"
2021-11-02,"east norwalk","apartment 005-1612 bedrooms • 2 baths • 1085 sqft$2,810 $2,710 w / 20 mo leaseavailable nov 18 — nov 20"
2021-11-02,"east norwalk","apartment 001-2072 bedrooms • 2 baths • 1085 sqft$2,785 w / 20 mo leaseavailable nov 10 — nov 11"
2021-11-02,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,810 w / 19 mo leaseavailable dec 08 — dec 09"
2021-11-02,"east norwalk","apartment 005-3612 bedrooms • 2 baths • 1085 sqft$2,820 w / 20 mo leaseavailable nov 20 — nov 21"
2021-11-02,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$2,870 w / 19 mo leaseavailable dec 18 — dec 19"
2021-11-02,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,880 w / 20 mo leaseavailable nov 03 — nov 05"
2021-11-02,"east norwalk","apartment 002-4302 bedrooms • 2 baths • 1288 sqft$2,955 w / 7 mo leaseavailable nov 25 — nov 26"
2021-11-02,"east norwalk","apartment 005-4532 bedrooms • 2 baths • 1297 sqft$3,050 w / 20 mo leaseavailable nov 17 — nov 19"
