"as_of_date","location","listings"
2021-10-14,"calabasas","finish package iapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,771 w / 15 mo leaseavailable nov 17 — nov 19"
2021-10-14,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$2,815 w / 15 mo leaseavailable nov 15 — nov 17"
2021-10-14,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,831 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iapartment 001-19o2 bedrooms • 2 baths • 950 sqft$2,907 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,909 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$3,069 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iiapartment 001-16j2 bedrooms • 2 baths • 925 sqft$3,127 w / 15 mo leaseavailable nov 10 — nov 12"
2021-10-14,"calabasas","finish package iiapartment 001-07g2 bedrooms • 2 baths • 950 sqft$3,182 w / 14 mo leaseavailable dec 09 — dec 11"
2021-10-14,"calabasas","finish package iapartment 001-18j2 bedrooms • 2 baths • 1109 sqft$3,217 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,234 w / 15 mo leaseavailable nov 08 — nov 10"
2021-10-14,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,267 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,290 w / 14 mo leaseavailable dec 06 — dec 08"
2021-10-14,"calabasas","finish package iiapartment 002-37b2 bedrooms • 2 baths • 1109 sqft$3,486 w / 15 mo leaseavailable nov 08 — nov 12"
2021-10-14,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,542 $3,490 w / 15 mo leaseavailable nov 15 — nov 17"
2021-10-14,"calabasas","finish package iiapartment 002-34j2 bedrooms • 2 baths • 1109 sqft$3,548 w / 15 mo leaseavailable oct 15 — oct 19"
2021-10-14,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,561 w / 15 mo leaseavailable nov 22 — nov 24"
2021-10-14,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,605 $2,505 w / 21 mo leaseavailable oct 15 — oct 17"
2021-10-14,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,650 $2,550 w / 21 mo leaseavailable oct 15 — oct 17"
2021-10-14,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$2,680 $2,589 w / 21 mo leaseavailable oct 15 — oct 17"
2021-10-14,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,835 $2,744 w / 18 mo leaseavailable dec 31 — jan 02"
2021-10-14,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,860 w / 20 mo leaseavailable nov 04 — nov 05"
2021-10-14,"east norwalk","apartment 005-1612 bedrooms • 2 baths • 1085 sqft$2,875 w / 20 mo leaseavailable nov 18 — nov 19"
2021-10-14,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,875 w / 21 mo leaseavailable oct 15 — oct 17"
2021-10-14,"east norwalk","apartment 001-2072 bedrooms • 2 baths • 1085 sqft$2,885 w / 20 mo leaseavailable nov 10 — nov 11"
2021-10-14,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$2,930 w / 6 mo leaseavailable dec 20 — dec 21"
