"as_of_date","location","listings"
2022-02-16,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,059 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,084 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$3,115 w / 15 mo leaseavailable mar 02 — mar 04"
2022-02-16,"calabasas","renovated package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,130 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"calabasas","renovated package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,130 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"calabasas","renovated package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,183 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"calabasas","renovated package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,186 w / 15 mo leaseavailable feb 17 — feb 21"
2022-02-16,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,845 w / 15 mo leaseavailable apr 06 — apr 07"
2022-02-16,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,885 w / 15 mo leaseavailable mar 31 — apr 01"
