"as_of_date","location","listings"
2021-06-27,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,761 w / 15 mo leaseavailable oct 04 — oct 06"
2021-06-27,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,828 w / 15 mo leaseavailable jun 28 — jul 02"
2021-06-27,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,996 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-27,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,103 w / 15 mo leaseavailable jun 28 — jul 02"
2021-06-27,"calabasas","finish package iiapartment 002-36i2 bedrooms • 2 baths • 950 sqft$3,303 w / 15 mo leaseavailable jul 21 — jul 25"
2021-06-27,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$3,322 w / 15 mo leaseavailable jul 22 — jul 24"
2021-06-27,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-27,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-27,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,100 w / 15 mo leaseavailable jul 07 — jul 09"
2021-06-27,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,160 w / 13 mo leaseavailable aug 11 — aug 12"
2021-06-27,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,225 w / 13 mo leaseavailable jul 31 — aug 01"
