"as_of_date","location","listings"
2021-05-30,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,598 w / 13 mo leaseavailable jun 29 — jul 01"
2021-05-30,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,656 w / 13 mo leaseavailable jul 01 — jul 03"
2021-05-30,"calabasas","finish package iapartment 001-10o2 bedrooms • 2 baths • 950 sqft$2,677 w / 13 mo leaseavailable jun 16 — jun 18"
2021-05-30,"calabasas","finish package iapartment 001-07a2 bedrooms • 2 baths • 950 sqft$2,677 w / 13 mo leaseavailable jun 18 — jun 20"
2021-05-30,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,700 w / 14 mo leaseavailable may 31 — jun 04"
2021-05-30,"calabasas","finish package iiapartment 002-29o2 bedrooms • 2 baths • 950 sqft$2,824 w / 13 mo leaseavailable jun 26 — jun 28"
2021-05-30,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,861 w / 13 mo leaseavailable jul 13 — jul 15"
2021-05-30,"calabasas","finish package iiapartment 001-01h2 bedrooms • 2 baths • 925 sqft$2,866 w / 13 mo leaseavailable jun 29 — jul 01"
2021-05-30,"calabasas","finish package iapartment 001-18b2 bedrooms • 2 baths • 1109 sqft$2,908 w / 13 mo leaseavailable jun 30 — jul 02"
2021-05-30,"calabasas","finish package iapartment 001-13b2 bedrooms • 2 baths • 1109 sqft$2,947 w / 13 mo leaseavailable jun 21 — jun 23"
2021-05-30,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,969 w / 14 mo leaseavailable may 31 — jun 04"
2021-05-30,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,984 w / 14 mo leaseavailable may 31 — jun 04"
2021-05-30,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,988 w / 13 mo leaseavailable jul 08 — jul 10"
2021-05-30,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$3,051 w / 15 mo leaseavailable aug 10 — aug 12"
2021-05-30,"calabasas","finish package iiapartment 001-05p2 bedrooms • 2 baths • 950 sqft$3,125 $3,081 w / 14 mo leaseavailable may 31 — jun 04"
2021-05-30,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,138 w / 13 mo leaseavailable jun 14 — jun 16"
2021-05-30,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,248 w / 13 mo leaseavailable jun 29 — jul 01"
2021-05-30,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,025 w / 13 mo leaseavailable aug 11 — aug 12"
2021-05-30,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,270 w / 15 mo leaseavailable jul 07 — jul 08"
