"as_of_date","location","listings"
2022-02-07,"calabasas","finish package iapartment 001-13o2 bedrooms • 2 baths • 950 sqft$3,161 w / 15 mo leaseavailable mar 07 — mar 09"
2022-02-07,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,174 w / 15 mo leaseavailable feb 08 — feb 12"
2022-02-07,"calabasas","finish package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,199 w / 15 mo leaseavailable feb 08 — feb 12"
2022-02-07,"calabasas","finish package iapartment 001-15o2 bedrooms • 2 baths • 925 sqft$3,235 w / 15 mo leaseavailable mar 04 — mar 06"
2022-02-07,"calabasas","finish package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,270 w / 15 mo leaseavailable feb 08 — feb 12"
2022-02-07,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,270 w / 15 mo leaseavailable feb 08 — feb 12"
2022-02-07,"calabasas","finish package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,328 w / 15 mo leaseavailable feb 11 — feb 15"
2022-02-07,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,331 w / 15 mo leaseavailable feb 11 — feb 15"
2022-02-07,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,670 w / 17 mo leaseavailable feb 08 — feb 10"
2022-02-07,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,800 w / 6 mo leaseavailable feb 25 — feb 26"
2022-02-07,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,860 w / 15 mo leaseavailable mar 31 — apr 01"
2022-02-07,"east norwalk","apartment 001-3012 bedrooms • 2 baths • 1306 sqft$2,870 w / 9 mo leaseavailable apr 27 — apr 28"
