"as_of_date","location","listings"
2021-07-29,"calabasas","finish package iapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,971 w / 15 mo leaseavailable nov 01 — nov 03"
2021-07-29,"calabasas","finish package iapartment 002-30h2 bedrooms • 2 baths • 925 sqft$3,022 w / 15 mo leaseavailable aug 27 — aug 29"
2021-07-29,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$3,056 w / 15 mo leaseavailable oct 05 — oct 07"
2021-07-29,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$3,075 w / 15 mo leaseavailable sep 06 — sep 08"
2021-07-29,"calabasas","finish package iapartment 001-10p2 bedrooms • 2 baths • 950 sqft$3,089 w / 15 mo leaseavailable sep 03 — sep 05"
2021-07-29,"calabasas","finish package iapartment 001-02g2 bedrooms • 2 baths • 950 sqft$3,129 w / 15 mo leaseavailable aug 30 — sep 01"
2021-07-29,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$3,129 w / 15 mo leaseavailable sep 14 — sep 16"
2021-07-29,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$3,186 w / 15 mo leaseavailable sep 23 — sep 25"
2021-07-29,"calabasas","finish package iiapartment 001-01i2 bedrooms • 2 baths • 925 sqft$3,237 w / 15 mo leaseavailable aug 06 — aug 10"
2021-07-29,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,366 w / 15 mo leaseavailable aug 12 — aug 14"
2021-07-29,"calabasas","finish package iiapartment 002-38g2 bedrooms • 2 baths • 950 sqft$3,481 w / 15 mo leaseavailable aug 26 — aug 28"
2021-07-29,"calabasas","finish package iapartment 002-32h2 bedrooms • 2 baths • 1109 sqft$3,653 w / 15 mo leaseavailable aug 11 — aug 13"
2021-07-29,"calabasas","finish package iiapartment 002-39j2 bedrooms • 2 baths • 1109 sqft$3,725 w / 15 mo leaseavailable aug 13 — aug 15"
2021-07-29,"calabasas","finish package iiapartment 001-20b2 bedrooms • 2 baths • 1313 sqft$3,862 w / 15 mo leaseavailable sep 14 — sep 16"
2021-07-29,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$3,025 w / 15 mo leaseavailable sep 10 — sep 11"
2021-07-29,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$3,035 w / 13 mo leaseavailable aug 21 — aug 23"
2021-07-29,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$3,055 w / 15 mo leaseavailable sep 11 — sep 12"
2021-07-29,"east norwalk","apartment 001-2072 bedrooms • 2 baths • 1085 sqft$3,075 w / 15 mo leaseavailable sep 18 — sep 19"
2021-07-29,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,100 w / 13 mo leaseavailable aug 11 — aug 12"
2021-07-29,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,225 w / 14 mo leaseavailable jul 30 — aug 01"
2021-07-29,"east norwalk","apartment 005-4602 bedrooms • 2 baths • 1297 sqft$3,255 w / 15 mo leaseavailable sep 13 — sep 14"
