"as_of_date","location","listings"
2022-02-19,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,984 w / 15 mo leaseavailable feb 19 — feb 23"
2022-02-19,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$3,010 w / 15 mo leaseavailable mar 02 — mar 04"
2022-02-19,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,059 w / 15 mo leaseavailable feb 19 — feb 23"
2022-02-19,"calabasas","renovated package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,130 w / 15 mo leaseavailable feb 19 — feb 23"
2022-02-19,"calabasas","renovated package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,183 w / 15 mo leaseavailable feb 19 — feb 23"
2022-02-19,"calabasas","renovated package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,186 w / 15 mo leaseavailable feb 19 — feb 23"
2022-02-19,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,885 w / 15 mo leaseavailable apr 06 — apr 07"
2022-02-19,"east norwalk","apartment 002-3222 bedrooms • 2 baths • 1085 sqft$2,885 w / 16 mo leaseavailable mar 19 — mar 20"
2022-02-19,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,925 w / 15 mo leaseavailable mar 31 — apr 01"
