"as_of_date","location","listings"
2021-06-25,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,761 w / 15 mo leaseavailable oct 04 — oct 06"
2021-06-25,"calabasas","finish package iapartment 001-03o2 bedrooms • 2 baths • 950 sqft$2,815 w / 15 mo leaseavailable jul 29 — jul 31"
2021-06-25,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,986 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-25,"calabasas","finish package iapartment 002-32h2 bedrooms • 2 baths • 1109 sqft$3,093 w / 15 mo leaseavailable aug 06 — aug 08"
2021-06-25,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,103 w / 15 mo leaseavailable jun 26 — jun 30"
2021-06-25,"calabasas","finish package iiapartment 002-40g2 bedrooms • 2 baths • 950 sqft$3,206 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-25,"calabasas","finish package iiapartment 001-22b2 bedrooms • 2 baths • 1109 sqft$3,283 w / 15 mo leaseavailable aug 09 — aug 11"
2021-06-25,"calabasas","finish package iiapartment 002-36i2 bedrooms • 2 baths • 950 sqft$3,293 w / 15 mo leaseavailable jul 16 — jul 20"
2021-06-25,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$3,312 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-25,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-25,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,391 $3,348 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-25,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,115 w / 15 mo leaseavailable jul 31 — aug 01"
2021-06-25,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,120 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-25,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,220 w / 15 mo leaseavailable jul 07 — jul 09"
