"as_of_date","location","listings"
2022-03-08,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,984 $2,933 w / 15 mo leaseavailable mar 09 — mar 13"
2022-03-08,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$2,960 w / 15 mo leaseavailable mar 09 — mar 13"
2022-03-08,"calabasas","classic package iiapartment 002-30o2 bedrooms • 2 baths • 925 sqft$3,048 w / 15 mo leaseavailable apr 13 — apr 15"
2022-03-08,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,059 w / 15 mo leaseavailable mar 09 — mar 13"
2022-03-08,"calabasas","renovated package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,183 w / 15 mo leaseavailable mar 09 — mar 13"
2022-03-08,"calabasas","renovated package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,186 w / 15 mo leaseavailable mar 09 — mar 13"
2022-03-08,"east norwalk","apartment 002-3222 bedrooms • 2 baths • 1085 sqft$2,740 w / 16 mo leaseavailable mar 19 — mar 21"
2022-03-08,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,870 w / 15 mo leaseavailable apr 06 — apr 07"
2022-03-08,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,910 w / 15 mo leaseavailable apr 02 — apr 03"
