"as_of_date","location","listings"
2022-03-22,"calabasas","classic package iiapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,906 w / 15 mo leaseavailable mar 30 — apr 03"
2022-03-22,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,989 $2,937 w / 15 mo leaseavailable mar 23 — mar 27"
2022-03-22,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$2,965 w / 15 mo leaseavailable mar 23 — mar 27"
2022-03-22,"calabasas","classic package iiapartment 002-30o2 bedrooms • 2 baths • 925 sqft$3,108 w / 15 mo leaseavailable apr 14 — apr 16"
2022-03-22,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,144 w / 15 mo leaseavailable mar 23 — mar 27"
2022-03-22,"calabasas","renovated package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,215 w / 15 mo leaseavailable mar 23 — mar 27"
2022-03-22,"calabasas","renovated package iiapartment 002-34p2 bedrooms • 2 baths • 1109 sqft$3,786 w / 13 mo leaseavailable jun 14 — jun 16"
2022-03-22,"east norwalk","no listings"
