"as_of_date","location","listings"
2022-03-19,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$2,954 $2,903 w / 15 mo leaseavailable mar 20 — mar 24"
2022-03-19,"calabasas","classic package iiapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,916 w / 15 mo leaseavailable mar 30 — apr 01"
2022-03-19,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$2,930 w / 15 mo leaseavailable mar 20 — mar 24"
2022-03-19,"calabasas","classic package iiapartment 002-30o2 bedrooms • 2 baths • 925 sqft$3,028 w / 15 mo leaseavailable apr 14 — apr 16"
2022-03-19,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,114 w / 15 mo leaseavailable mar 20 — mar 24"
2022-03-19,"calabasas","renovated package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,185 w / 15 mo leaseavailable mar 20 — mar 24"
2022-03-19,"calabasas","renovated package iiapartment 002-34p2 bedrooms • 2 baths • 1109 sqft$3,711 w / 13 mo leaseavailable jun 14 — jun 16"
2022-03-19,"east norwalk","no listings"
